Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR1039508_R1 - illumina_universal_adapter	(1, 0.004700033422459893)	(2, 0.008355614973262033)	(3, 0.01227230949197861)	(4, 0.016189004010695188)	(5, 0.019844585561497326)	(6, 0.022194602272727272)	(7, 0.027416861631016042)	(8, 0.03107244318181818)	(9, 0.03420579879679144)	(10, 0.037339154411764705)	(11, 0.040733622994652406)	(12, 0.04334475267379679)	(13, 0.04700033422459893)	(14, 0.049872576871657755)	(15, 0.052744819518716575)	(16, 0.0556170621657754)	(17, 0.05770596590909091)	(18, 0.06005598262032086)	(19, 0.06318933823529412)	(20, 0.06553935494652406)	(21, 0.06788937165775401)	(22, 0.06893382352941177)	(23, 0.07128384024064172)	(24, 0.07441719585561497)	(25, 0.07624498663101605)	(26, 0.07781166443850267)	(27, 0.0806839070855615)	(28, 0.08355614973262032)	(29, 0.0848617145721925)	(30, 0.0874728442513369)	(31, 0.08982286096256685)	(32, 0.09112842580213903)	(33, 0.0942617814171123)	(34, 0.09530623328877005)	(35, 0.09817847593582887)	(36, 0.10000626671122995)	(37, 0.1010507185828877)	(38, 0.10340073529411764)	(39, 0.10679520387700535)	(40, 0.1078396557486631)	(41, 0.11018967245989304)	(42, 0.11227857620320855)	(43, 0.11515081885026739)	(44, 0.11776194852941177)	(45, 0.11932862633689839)	(46, 0.12220086898395723)	(47, 0.12402865975935828)	(48, 0.12716201537433156)	(49, 0.13029537098930483)	(50, 0.13316761363636365)	(51, 0.13577874331550802)	(52, 0.13943432486631016)
SRR1039508_R1 - polya	(1, 0.014883439171122994)	(2, 0.017233455882352942)	(3, 0.025327957887700536)	(4, 0.02950576537433155)	(5, 0.030550217245989306)	(6, 0.03263912098930481)	(7, 0.03472802473262032)	(8, 0.0386447192513369)	(9, 0.045694769385026736)	(10, 0.049350350935828874)	(11, 0.05378927139037433)	(12, 0.05718373997326203)	(13, 0.059794869652406414)	(14, 0.061883773395721924)	(15, 0.06606158088235294)	(16, 0.07154495320855615)	(17, 0.07441719585561497)	(18, 0.07650609959893048)	(19, 0.08016168114973261)	(20, 0.08329503676470588)	(21, 0.0861672794117647)	(22, 0.08982286096256685)	(23, 0.09452289438502674)	(24, 0.09870070187165775)	(25, 0.1010507185828877)	(26, 0.10522852606951871)	(27, 0.1091452205882353)	(28, 0.11280080213903744)	(29, 0.11776194852941177)	(30, 0.12115641711229946)	(31, 0.12559533756684493)	(32, 0.1308175969251337)	(33, 0.13368983957219252)	(34, 0.1363009692513369)	(35, 0.13995655080213903)	(36, 0.1430899064171123)	(37, 0.146484375)	(38, 0.15092329545454544)	(39, 0.1545788770053476)	(40, 0.1600622493315508)	(41, 0.16580673462566844)	(42, 0.1723345588235294)	(43, 0.17651236631016043)	(44, 0.18121239973262032)	(45, 0.1843457553475936)	(46, 0.18956801470588236)	(47, 0.19348470922459893)	(48, 0.1987069685828877)	(49, 0.20236255013368984)	(50, 0.20654035762032086)	(51, 0.21385152072192512)	(52, 0.3961083723262032)
SRR1039508_R2 - illumina_universal_adapter	(1, 0.004700033422459893)	(2, 0.007311163101604278)	(3, 0.010705631684491979)	(4, 0.013316761363636364)	(5, 0.016450116978609625)	(6, 0.018277907754010694)	(7, 0.023239054144385027)	(8, 0.027155748663101605)	(9, 0.030550217245989306)	(10, 0.033944685828877004)	(11, 0.03812249331550802)	(12, 0.040733622994652406)	(13, 0.04386697860962567)	(14, 0.04700033422459893)	(15, 0.049872576871657755)	(16, 0.052744819518716575)	(17, 0.0556170621657754)	(18, 0.05770596590909091)	(19, 0.060317095588235295)	(20, 0.06266711229946524)	(21, 0.06501712901069519)	(22, 0.06632269385026739)	(23, 0.06945604946524064)	(24, 0.07311163101604277)	(25, 0.07520053475935828)	(26, 0.07755055147058823)	(27, 0.0806839070855615)	(28, 0.08355614973262032)	(29, 0.0848617145721925)	(30, 0.0874728442513369)	(31, 0.08982286096256685)	(32, 0.09112842580213903)	(33, 0.09478400735294118)	(34, 0.09608957219251336)	(35, 0.0989618148395722)	(36, 0.10052849264705882)	(37, 0.10157294451871658)	(38, 0.10418407419786097)	(39, 0.1078396557486631)	(40, 0.1091452205882353)	(41, 0.11175635026737968)	(42, 0.11384525401069519)	(43, 0.11645638368983957)	(44, 0.11880640040106952)	(45, 0.12063419117647059)	(46, 0.12376754679144385)	(47, 0.12585645053475936)	(48, 0.1295120320855615)	(49, 0.13212316176470587)	(50, 0.13499540441176472)	(51, 0.13812876002673796)	(52, 0.1417843415775401)
SRR1039508_R2 - polya	(1, 0.010183405748663102)	(2, 0.013055648395721925)	(3, 0.015927891042780747)	(4, 0.02062792446524064)	(5, 0.021672376336898395)	(6, 0.02428350601604278)	(7, 0.02611129679144385)	(8, 0.02924465240641711)	(9, 0.03263912098930481)	(10, 0.037861380347593586)	(11, 0.04177807486631016)	(12, 0.046478108288770054)	(13, 0.048828125)	(14, 0.051961480614973264)	(15, 0.05405038435828877)	(16, 0.05927264371657754)	(17, 0.06162266042780749)	(18, 0.06371156417112299)	(19, 0.06606158088235294)	(20, 0.06971716243315508)	(21, 0.07441719585561497)	(22, 0.08016168114973261)	(23, 0.0853839405080214)	(24, 0.08903952205882353)	(25, 0.09295621657754011)	(26, 0.09713402406417113)	(27, 0.10078960561497326)	(28, 0.10627297794117647)	(29, 0.1091452205882353)	(30, 0.11306191510695188)	(31, 0.11776194852941177)	(32, 0.12167864304812834)	(33, 0.12637867647058823)	(34, 0.13133982286096257)	(35, 0.13525651737967914)	(36, 0.1396954378342246)	(37, 0.14126211564171123)	(38, 0.14596214906417113)	(39, 0.14831216577540107)	(40, 0.1540566510695187)	(41, 0.15849557152406418)	(42, 0.16502339572192512)	(43, 0.169723429144385)	(44, 0.17337901069518716)	(45, 0.17755681818181818)	(46, 0.3731304311497326)	(47, 0.43710310828877)	(48, 0.4412809157754011)	(49, 0.44571983622994654)	(50, 0.4493754177807487)	(51, 0.4530309993315508)	(52, 0.45590324197860965)
SRR1039509_R1 - illumina_universal_adapter	(1, 0.001216017380941765)	(2, 0.0022293651983932355)	(3, 0.004053391269805883)	(4, 0.006282756468199119)	(5, 0.00932279992055353)	(6, 0.011957504245927356)	(7, 0.013578860753849708)	(8, 0.016416234642713825)	(9, 0.055734129959830896)	(10, 0.05755815603124354)	(11, 0.05978752122963678)	(12, 0.061814216864539716)	(13, 0.06303023424548149)	(14, 0.06424625162642325)	(15, 0.06667828638830678)	(16, 0.06809697333273884)	(17, 0.06971832984066119)	(18, 0.07052900809462237)	(19, 0.07113701678509325)	(20, 0.07154235591207384)	(21, 0.07336638198348648)	(22, 0.07458239936442825)	(23, 0.07519040805489913)	(24, 0.07579841674537001)	(25, 0.07782511238027295)	(26, 0.07883846019772442)	(27, 0.0800544775786662)	(28, 0.08147316452309825)	(29, 0.08208117321356913)	(30, 0.08451320797545266)	(31, 0.08552655579290414)	(32, 0.0865399036103556)	(33, 0.08775592099129736)	(34, 0.08937727749921973)	(35, 0.09099863400714207)	(36, 0.09221465138808384)	(37, 0.0938360078960062)	(38, 0.09444401658647708)	(39, 0.09586270353090913)	(40, 0.09768672960232178)	(41, 0.09910541654675384)	(42, 0.10133478174514708)	(43, 0.10275346868957913)	(44, 0.1041721556340112)	(45, 0.10700952952287532)	(46, 0.10822554690381708)	(47, 0.10944156428475885)	(48, 0.11227893817362296)	(49, 0.11349495555456472)	(50, 0.11552165118946767)	(51, 0.11673766857040943)	(52, 0.12443911198304061)
SRR1039509_R1 - polya	(1, 0.01418686944432059)	(2, 0.016821573769694415)	(3, 0.020672295476010003)	(4, 0.024117678055345003)	(5, 0.025739034563267357)	(6, 0.02817106932515089)	(7, 0.03019776496005383)	(8, 0.03262979972193736)	(9, 0.04256060833296177)	(10, 0.044587303967864714)	(11, 0.04620866047578707)	(12, 0.047627347420219124)	(13, 0.04924870392814148)	(14, 0.051680738690025006)	(15, 0.05391010388841824)	(16, 0.05715281690426295)	(17, 0.062219555991520306)	(18, 0.06424625162642325)	(19, 0.06688095595179708)	(20, 0.06951566027717089)	(21, 0.07052900809462237)	(22, 0.0729610428565059)	(23, 0.07417706023744766)	(24, 0.07741977325329237)	(25, 0.08066248626913708)	(26, 0.08289185146753031)	(27, 0.08431053841196237)	(28, 0.08897193837223913)	(29, 0.09261999051506443)	(30, 0.09525469484043825)	(31, 0.09930808611024414)	(32, 0.10133478174514708)	(33, 0.1041721556340112)	(34, 0.10782020777683649)	(35, 0.11025224253872001)	(36, 0.11349495555456472)	(37, 0.11572432075295797)	(38, 0.11835902507833179)	(39, 0.12018305114974444)	(40, 0.12342576416558915)	(41, 0.12991119019727856)	(42, 0.13416725103057472)	(43, 0.1418686944432059)	(44, 0.14490873789556033)	(45, 0.1526101813081915)	(46, 0.15666357257799737)	(47, 0.16071696384780326)	(48, 0.1635543377366674)	(49, 0.16598637249855092)	(50, 0.1690264159509053)	(51, 0.17997057237938122)	(52, 0.47951618721803596)
SRR1039509_R2 - polya	(1, 0.010944156428475885)	(2, 0.01317352162686912)	(3, 0.016416234642713825)	(4, 0.020672295476010003)	(5, 0.02391500849185471)	(6, 0.025739034563267357)	(7, 0.02877907801562177)	(8, 0.03283246928542765)	(9, 0.034453825793350004)	(10, 0.0381018779361753)	(11, 0.04033124313456854)	(12, 0.04276327789645207)	(13, 0.04539798222182589)	(14, 0.048640695237670596)	(15, 0.05066739087257354)	(16, 0.05370743432492795)	(17, 0.05613946908681148)	(18, 0.059179512539165896)	(19, 0.0624222255550106)	(20, 0.06444892118991354)	(21, 0.06688095595179708)	(22, 0.06890765158670001)	(23, 0.07174502547556413)	(24, 0.07417706023744766)	(25, 0.07600108630886031)	(26, 0.07863579063423413)	(27, 0.08147316452309825)	(28, 0.08633723404686532)	(29, 0.08978261662620031)	(30, 0.09261999051506443)	(31, 0.09606537309439943)	(32, 0.09991609480071502)	(33, 0.10234812956259855)	(34, 0.10599618170542384)	(35, 0.10802287734032678)	(36, 0.11248160773711326)	(37, 0.11531898162597737)	(38, 0.1179536859513512)	(39, 0.11957504245927356)	(40, 0.12241241634813767)	(41, 0.12545245980049208)	(42, 0.13051919888774943)	(43, 0.13659928579245825)	(44, 0.14045000749877384)	(45, 0.1455167465860312)	(46, 0.5005938218210265)	(47, 0.5662587603918818)	(48, 0.5703121516616878)	(49, 0.5747708820584743)	(50, 0.5782162646378092)	(51, 0.5822696559076151)	(52, 0.5855123689234598)
SRR1039512_R1 - polya	(1, 0.018658519862331597)	(2, 0.023154548744821136)	(3, 0.027875379071435155)	(4, 0.031022599289177832)	(5, 0.03349541517454708)	(6, 0.036417833948165286)	(7, 0.038665848389410055)	(8, 0.04226267149540169)	(9, 0.04473548738077093)	(10, 0.046084296045517795)	(11, 0.04923151626326047)	(12, 0.05372754514575002)	(13, 0.05709956680761717)	(14, 0.06092119135773328)	(15, 0.0656420216843473)	(16, 0.07058765345508579)	(17, 0.07373487367282848)	(18, 0.07755649822294458)	(19, 0.0802541155524383)	(20, 0.08362613721430547)	(21, 0.08587415165555023)	(22, 0.08947097476154187)	(23, 0.09351740075578245)	(24, 0.09801342963827199)	(25, 0.1009358484118902)	(26, 0.10408306862963287)	(27, 0.10790469317974899)	(28, 0.11082711195336718)	(29, 0.11329992783873644)	(30, 0.11779595672122598)	(31, 0.12161758127134209)	(32, 0.1254392058214582)	(33, 0.12881122748332535)	(34, 0.1330824549216904)	(35, 0.13690407947180652)	(36, 0.13892729246892682)	(37, 0.14184971124254503)	(38, 0.147020144457408)	(39, 0.14949296034277723)	(40, 0.15308978344876886)	(41, 0.15915942244012976)	(42, 0.16837628164923332)	(43, 0.17399631775234525)	(44, 0.17601953074946552)	(45, 0.1793915524113327)	(46, 0.1832131769614488)	(47, 0.18636039717919148)	(48, 0.1899572202851831)	(49, 0.19243003617055235)	(50, 0.19625166072066846)	(51, 0.19760046938541534)	(52, 0.20929014447988814)
SRR1039512_R2 - polya	(1, 0.020232129971202936)	(2, 0.024053754521319044)	(3, 0.027650577627310678)	(4, 0.03169700362155126)	(5, 0.03596823105991633)	(6, 0.04001465705415692)	(7, 0.04293707582777512)	(8, 0.04788270759851361)	(9, 0.05215393503687868)	(10, 0.05597555958699479)	(11, 0.06024678702535985)	(12, 0.06474281590784939)	(13, 0.06676602890496969)	(14, 0.07373487367282848)	(15, 0.07733169677882011)	(16, 0.088122166096795)	(17, 0.09441660653228036)	(18, 0.09868783397064543)	(19, 0.10205985563251259)	(20, 0.10745509029150004)	(21, 0.11172631772986509)	(22, 0.11622234661235464)	(23, 0.12094317693896865)	(24, 0.12476480148908477)	(25, 0.12701281593032954)	(26, 0.13060963903632117)	(27, 0.1333072563658149)	(28, 0.13645447658355758)	(29, 0.1400512996895492)	(30, 0.14409772568378978)	(31, 0.14859375456627932)	(32, 0.15331458489289335)	(33, 0.15826021666363185)	(34, 0.16140743688137452)	(35, 0.1645546570991172)	(36, 0.16725227442861093)	(37, 0.17039949464635362)	(38, 0.1744459206405942)	(39, 0.17669393508183898)	(40, 0.18343797840557327)	(41, 0.19040682317343208)	(42, 0.19670126360891743)	(43, 0.2009724910472825)	(44, 0.2027709026002783)	(45, 0.20794133581514126)	(46, 0.2115381589211329)	(47, 0.22682465712159736)	(48, 0.22997187733934002)	(49, 0.23491750911007853)	(50, 0.2380647293278212)	(51, 0.2418863538779373)	(52, 0.2461575813163024)
SRR1039517_R1 - polya	(1, 0.016206982616390447)	(2, 0.018800099835012917)	(3, 0.021555286879799292)	(4, 0.026417381664716428)	(5, 0.028848429057174992)	(6, 0.031117406623469655)	(7, 0.0325760350589448)	(8, 0.035493291929895074)	(9, 0.04019331688864831)	(10, 0.0435967832380903)	(11, 0.04781059871835181)	(12, 0.054131321938744086)	(13, 0.05704857880969437)	(14, 0.060127905506808556)	(15, 0.06272102272543102)	(16, 0.06725897785802035)	(17, 0.07179693299060967)	(18, 0.07455212003539605)	(19, 0.07811765621100195)	(20, 0.08071077342962442)	(21, 0.08281768116975517)	(22, 0.08670735699768889)	(23, 0.08946254404247526)	(24, 0.09270394056575335)	(25, 0.09529705778437582)	(26, 0.09772810517683439)	(27, 0.10032122239545686)	(28, 0.10259019996175152)	(29, 0.1055074568327018)	(30, 0.10810057405132427)	(31, 0.11069369126994674)	(32, 0.11377301796706094)	(33, 0.11733855414266682)	(34, 0.12057995066594492)	(35, 0.1236592773630591)	(36, 0.12625239458168158)	(37, 0.12933172127879575)	(38, 0.1311144893665987)	(39, 0.13386967641138509)	(40, 0.13662486345617145)	(41, 0.14019039963177735)	(42, 0.14343179615505544)	(43, 0.14699733233066134)	(44, 0.14959044954928383)	(45, 0.15185942711557848)	(46, 0.15364219520338143)	(47, 0.15704566155282343)	(48, 0.1604491279022654)	(49, 0.1640146640778713)	(50, 0.1672560606011494)	(51, 0.16952503816744408)	(52, 0.17179401573373873)
