Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0010444518716577538)	(9, 0.0013055648395721925)	(10, 0.005744485294117647)	(11, 0.003655581550802139)	(12, 0.0)	(13, 0.0015666778074866312)	(14, 0.014622326203208556)	(15, 0.18539020721925134)	(16, 0.22821273395721925)	(17, 0.26894635695187163)	(18, 0.2705130347593583)	(19, 0.30602439839572193)	(20, 0.31438001336898397)	(21, 0.2535406918449198)	(22, 0.31699114304812837)	(23, 0.2840909090909091)	(24, 0.14935661764705882)	(25, 0.03290023395721925)	(26, 0.011227857620320856)	(27, 0.0007833389037433156)	(28, 0.0)	(29, 0.0013055648395721925)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0007833389037433156)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0007833389037433156)	(51, 0.0)	(52, 0.0005222259358288769)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039508_R2	(1, 0.009922292780748663)	(2, 0.014883439171122994)	(3, 0.030550217245989303)	(4, 0.02271682820855615)	(5, 0.019844585561497326)	(6, 0.021933489304812835)	(7, 0.027155748663101605)	(8, 0.02454461898395722)	(9, 10.559930648395722)	(10, 0.030550217245989303)	(11, 0.02480573195187166)	(12, 0.022455715240641713)	(13, 0.01958347259358289)	(14, 0.007833389037433155)	(15, 0.007572276069518717)	(16, 0.010705631684491977)	(17, 0.013838987299465241)	(18, 0.01671122994652406)	(19, 0.013577874331550803)	(20, 0.008094502005347594)	(21, 0.015144552139037435)	(22, 0.012794535427807487)	(23, 0.009138953877005347)	(24, 0.01880013368983957)	(25, 0.013838987299465241)	(26, 0.011750083556149732)	(27, 0.009661179812834226)	(28, 0.015405665106951872)	(29, 0.016450116978609625)	(30, 0.016972342914438502)	(31, 0.014622326203208556)	(32, 0.014622326203208556)	(33, 0.013577874331550803)	(34, 0.013838987299465241)	(35, 0.013838987299465241)	(36, 0.0033944685828877007)	(37, 0.00887784090909091)	(38, 0.005744485294117647)	(39, 0.0018277907754010695)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.02480573195187166)	(44, 0.09713402406417113)	(45, 0.12455088569518716)	(46, 0.131600935828877)	(47, 0.1830401905080214)	(48, 0.24048504344919786)	(49, 0.2783464237967914)	(50, 0.2827853442513369)	(51, 0.2786075367647059)	(52, 0.3002799131016043)	(53, 0.3086355280748663)	(54, 0.3018465909090909)	(55, 0.3216911764705882)	(56, 0.3031521557486631)	(57, 0.31176888368983957)	(58, 0.22142379679144386)	(59, 0.10470630013368984)	(60, 0.04047251002673797)	(61, 0.010183405748663102)	(62, 0.0018277907754010695)	(63, 0.0007833389037433156)
SRR1039509_R1	(1, 0.00020266956349029413)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00020266956349029413)	(8, 0.00040533912698058827)	(9, 0.00243203476188353)	(10, 0.007296104285650589)	(11, 0.001418686944432059)	(12, 0.0)	(13, 0.001418686944432059)	(14, 0.017632252023655592)	(15, 0.1874693462285221)	(16, 0.23084063281544503)	(17, 0.27218522376746507)	(18, 0.26934784987860094)	(19, 0.30623371043383446)	(20, 0.31211112777505295)	(21, 0.2547556413072998)	(22, 0.3108951103941112)	(23, 0.28535874539433415)	(24, 0.1562582334510168)	(25, 0.03323780841240824)	(26, 0.007498773849140883)	(27, 0.0006080086904708825)	(28, 0.0)	(29, 0.001621356507922353)	(30, 0.0)	(31, 0.0)	(32, 0.00020266956349029413)	(33, 0.00020266956349029413)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.00020266956349029413)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0008106782539611765)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509_R2	(1, 0.00830945210310206)	(2, 0.012565512936398238)	(3, 0.028373738888641184)	(4, 0.021685643293461475)	(5, 0.016010895515733238)	(6, 0.018240260714126474)	(7, 0.025536364999777066)	(8, 0.019253608531577943)	(9, 10.608535631335956)	(10, 0.026955051944209125)	(11, 0.020266956349029416)	(12, 0.021888312856951767)	(13, 0.015808225952242943)	(14, 0.007904112976121471)	(15, 0.0060800869047088245)	(16, 0.008917460793572942)	(17, 0.012970852063378824)	(18, 0.016416234642713825)	(19, 0.011552165118946767)	(20, 0.007904112976121471)	(21, 0.012768182499888533)	(22, 0.00972813904753412)	(23, 0.0060800869047088245)	(24, 0.017226912896675002)	(25, 0.009525469484043826)	(26, 0.007498773849140883)	(27, 0.007093434722160296)	(28, 0.011957504245927356)	(29, 0.011146825991966178)	(30, 0.013781530317340002)	(31, 0.011552165118946767)	(32, 0.010336147738005001)	(33, 0.010133478174514708)	(34, 0.009930808611024413)	(35, 0.00830945210310206)	(36, 0.0034453825793350004)	(37, 0.0060800869047088245)	(38, 0.003242713015844706)	(39, 0.0010133478174514708)	(40, 0.00020266956349029413)	(41, 0.0)	(42, 0.0)	(43, 0.021888312856951767)	(44, 0.10153745130863737)	(45, 0.12302042503860855)	(46, 0.1319378858321815)	(47, 0.1866586679745609)	(48, 0.2419874588074112)	(49, 0.27603594547378063)	(50, 0.28029200630707685)	(51, 0.2770492932912321)	(52, 0.29569489313233915)	(53, 0.30522036261638297)	(54, 0.30055896265610627)	(55, 0.31738053642580066)	(56, 0.2991402757116742)	(57, 0.30643637999732476)	(58, 0.22394986765677505)	(59, 0.10640152083240444)	(60, 0.03789920837268501)	(61, 0.006282756468199119)	(62, 0.001216017380941765)	(63, 0.00020266956349029413)
SRR1039512_R1	(1, 0.00022480144412447705)	(2, 0.0006744043323734312)	(3, 0.0013488086647468623)	(4, 0.00022480144412447705)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00022480144412447705)	(9, 0.00022480144412447705)	(10, 0.0)	(11, 0.0011240072206223854)	(12, 0.0)	(13, 0.0)	(14, 0.0044960288824895415)	(15, 0.0006744043323734312)	(16, 0.005844837547236404)	(17, 0.00022480144412447705)	(18, 0.002922418773618202)	(19, 0.008092851988481174)	(20, 0.008767256320854606)	(21, 0.0044960288824895415)	(22, 0.004271227438365064)	(23, 0.010790469317974899)	(24, 0.015736101088713393)	(25, 0.0166353068652113)	(26, 0.008992057764979083)	(27, 0.0020232129971202934)	(28, 0.00022480144412447705)	(29, 0.0015736101088713395)	(30, 0.0006744043323734312)	(31, 0.0033720216618671555)	(32, 0.0006744043323734312)	(33, 0.0011240072206223854)	(34, 0.00022480144412447705)	(35, 0.0013488086647468623)	(36, 0.004271227438365064)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00989126354147699)	(60, 0.004271227438365064)	(61, 0.002922418773618202)	(62, 0.0024728158853692477)	(63, 0.0008992057764979082)
SRR1039512_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039517_R1	(1, 0.0)	(2, 0.00016206982616390447)	(3, 0.00016206982616390447)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00016206982616390447)	(11, 0.0009724189569834267)	(12, 0.605654940374511)	(13, 0.0)	(14, 0.0)	(15, 0.00016206982616390447)	(16, 0.005996583568064465)	(17, 0.0)	(18, 0.00016206982616390447)	(19, 0.00048620947849171335)	(20, 0.0032413965232780894)	(21, 0.0016206982616390447)	(22, 0.0032413965232780894)	(23, 0.002431047392458567)	(24, 0.005186234437244943)	(25, 0.0030793266971141844)	(26, 0.0011344887831473312)	(27, 0.0009724189569834267)	(28, 0.0006482793046556179)	(29, 0.00032413965232780894)	(30, 0.00048620947849171335)	(31, 0.0030793266971141844)	(32, 0.002431047392458567)	(33, 0.0008103491308195223)	(34, 0.0017827680878029493)	(35, 0.0014586284354751401)	(36, 0.0022689775662946624)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.004051745654097612)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00016206982616390447)	(60, 0.00016206982616390447)	(61, 0.002755187044786376)	(62, 0.00016206982616390447)	(63, 0.00016206982616390447)
SRR1039517_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00016206982616390447)	(7, 0.00016206982616390447)	(8, 0.0)	(9, 0.00016206982616390447)	(10, 0.0)	(11, 0.00032413965232780894)	(12, 0.00032413965232780894)	(13, 0.00032413965232780894)	(14, 0.0)	(15, 0.0)	(16, 0.00016206982616390447)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039520_R1	(1, 0.001060822243320798)	(2, 0.0018564389258113963)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0007956166824905984)	(13, 0.0)	(14, 0.0)	(15, 0.0015912333649811968)	(16, 0.0018564389258113963)	(17, 0.0)	(18, 0.0)	(19, 0.0007956166824905984)	(20, 0.0029172611691321943)	(21, 0.006364933459924787)	(22, 0.0002652055608301995)	(23, 0.002652055608301995)	(24, 0.009282194629056982)	(25, 0.01591233364981197)	(26, 0.0018564389258113963)	(27, 0.005038905655773791)	(28, 0.0)	(29, 0.001060822243320798)	(30, 0.0)	(31, 0.001060822243320798)	(32, 0.002121644486641596)	(33, 0.001060822243320798)	(34, 0.002652055608301995)	(35, 0.0007956166824905984)	(36, 0.0018564389258113963)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0007956166824905984)	(60, 0.000530411121660399)	(61, 0.0)	(62, 0.0002652055608301995)	(63, 0.000530411121660399)
SRR1039520_R2	(1, 0.0002652055608301995)	(2, 0.0)	(3, 0.000530411121660399)	(4, 0.0002652055608301995)	(5, 0.000530411121660399)	(6, 0.0002652055608301995)	(7, 0.0002652055608301995)	(8, 0.0002652055608301995)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000530411121660399)	(13, 0.0002652055608301995)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.000530411121660399)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0002652055608301995)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0002652055608301995)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0002652055608301995)	(46, 0.0002652055608301995)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
