Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_R1	(1, 38.31732536764706)	(2, 39.990377987132355)	(3, 40.04525871072861)	(4, 40.07210634608957)	(5, 40.09056442179144)	(6, 40.07738343917112)	(7, 40.13334778158423)	(8, 40.03375146223262)	(9, 40.05348899147727)	(10, 39.97386781417112)	(11, 39.771131872493314)	(12, 39.80206853693182)	(13, 39.85032482453209)	(14, 39.72255441594251)	(15, 39.594455005013366)	(16, 39.43895962149064)	(17, 39.299178016377006)	(18, 39.15711689505348)	(19, 39.03116122159091)	(20, 39.07936267546791)	(21, 39.10223617145722)	(22, 39.06178977272727)	(23, 38.94769385026738)	(24, 38.9603238845254)	(25, 39.04969763118316)	(26, 39.1345149565508)	(27, 39.0319889496992)	(28, 39.069317659592244)	(29, 39.082715365975936)	(30, 39.045726102941174)	(31, 38.990242208389034)	(32, 38.75921728776738)	(33, 38.72720483790107)	(34, 38.56588924632353)	(35, 38.59068714488637)	(36, 38.42005504261363)	(37, 38.39912422710562)	(38, 38.52271421707888)	(39, 38.53650098178476)	(40, 38.47601677389706)	(41, 38.42989639037433)	(42, 38.232745655080215)	(43, 38.18563043114973)	(44, 38.09801397476604)	(45, 37.98255243148396)	(46, 37.89493336397059)	(47, 37.71686476437166)	(48, 37.49544618983957)	(49, 37.3787182486631)	(50, 37.290383731617645)	(51, 37.15956874582219)	(52, 36.91348544034091)	(53, 36.79507593165107)	(54, 36.56537485377674)	(55, 36.397732494986634)	(56, 36.245749080882355)	(57, 36.05067941594251)	(58, 35.86563910010027)	(59, 35.64823905414438)	(60, 35.298815069351605)	(61, 35.08927191260027)	(62, 34.900048567012036)	(63, 34.08269969919786)
SRR1039508_R2	(1, 38.251013118315505)	(2, 39.92309700868984)	(3, 39.84757791610963)	(4, 39.91624801554144)	(5, 39.873237487466575)	(6, 39.85205600350936)	(7, 39.83349609375)	(8, 39.80108675217246)	(9, 34.21867166610963)	(10, 36.17189588903744)	(11, 38.28507530497995)	(12, 39.12786179812834)	(13, 39.34531145554813)	(14, 39.44461271724599)	(15, 39.48463872409759)	(16, 39.57260246072861)	(17, 39.52359155665107)	(18, 39.40954785678476)	(19, 39.42716775985963)	(20, 39.3026220964238)	(21, 39.487500522225936)	(22, 39.51686006433823)	(23, 39.51909780247326)	(24, 39.34649690842246)	(25, 39.391455339237964)	(26, 39.375039166945186)	(27, 39.317059032419785)	(28, 39.248730990975936)	(29, 39.22046290106952)	(30, 39.113268194351605)	(31, 39.06003509358289)	(32, 39.0319262825869)	(33, 39.05691740474599)	(34, 39.0868017839238)	(35, 39.07461564171123)	(36, 38.99994777740642)	(37, 38.9491064714238)	(38, 38.862834746824866)	(39, 37.227037725601605)	(40, 37.88047815006684)	(41, 38.237268131684495)	(42, 38.39114200367647)	(43, 38.35513452540107)	(44, 38.22923107453209)	(45, 38.127890520554814)	(46, 37.97396181483957)	(47, 37.813207616143046)	(48, 37.56648980614973)	(49, 37.39407691343583)	(50, 37.20698686079545)	(51, 37.04006256266711)	(52, 36.849491874164436)	(53, 36.510525463736634)	(54, 36.34979215407754)	(55, 36.16080381016043)	(56, 35.96424580130348)	(57, 35.7332234918115)	(58, 35.47303747493316)	(59, 35.473154975768715)	(60, 35.25882300718583)	(61, 35.1413143382353)	(62, 34.87232881433823)	(63, 34.07843572443182)
SRR1039509_R1	(1, 38.30559124791757)	(2, 39.983871556137444)	(3, 40.039488137750446)	(4, 40.06703093142878)	(5, 40.09023456975278)	(6, 40.075895698135845)	(7, 40.13026586193339)	(8, 40.02918239044697)	(9, 40.04248967398574)	(10, 39.960720611899944)	(11, 39.76702120328973)	(12, 39.79893152606128)	(13, 39.84400118359025)	(14, 39.715938339812006)	(15, 39.57448511797395)	(16, 39.437444012533085)	(17, 39.29853429371684)	(18, 39.14510127398088)	(19, 39.031257726777106)	(20, 39.081193480525485)	(21, 39.09810828229438)	(22, 39.062085794079614)	(23, 38.957050266105135)	(24, 38.96504152699356)	(25, 39.066378335434344)	(26, 39.15456594259587)	(27, 39.043967135103586)	(28, 39.08645478239369)	(29, 39.079426201931845)	(30, 39.02510265213391)	(31, 38.988324206447324)	(32, 38.7639244123596)	(33, 38.74678464737523)	(34, 38.596509219438445)	(35, 38.614007709550194)	(36, 38.43933897295172)	(37, 38.42905957269149)	(38, 38.5602090739217)	(39, 38.57476885536284)	(40, 38.52718204185532)	(41, 38.466391306286404)	(42, 38.28943848370739)	(43, 38.229567867956725)	(44, 38.14804200934712)	(45, 38.030649718086636)	(46, 37.94730996688379)	(47, 37.76363459488381)	(48, 37.55376215510707)	(49, 37.43866813669657)	(50, 37.34487266271326)	(51, 37.19340553774315)	(52, 36.92335847787051)	(53, 36.79526523365774)	(54, 36.565780460222044)	(55, 36.37993652389272)	(56, 36.22688857632738)	(57, 36.02279829919702)	(58, 35.81336565237306)	(59, 35.58587514744211)	(60, 35.24038839595147)	(61, 35.00414661926901)	(62, 34.79222316350975)	(63, 33.97273081023238)
SRR1039509_R2	(1, 37.862010401001996)	(2, 39.44325049552708)	(3, 39.37031782640947)	(4, 39.4461608304588)	(5, 39.40334283178021)	(6, 39.39069625101841)	(7, 39.31940520536507)	(8, 39.29961046909897)	(9, 33.83213488064789)	(10, 35.819968626751574)	(11, 37.902894932044894)	(12, 38.66453525842396)	(13, 38.858058344513935)	(14, 39.00325689988529)	(15, 39.03144823616679)	(16, 39.15504221607007)	(17, 39.04732536977062)	(18, 38.928417110175225)	(19, 38.94757546401197)	(20, 38.892291260483084)	(21, 39.04339966032581)	(22, 39.09825825777136)	(23, 39.05643536664951)	(24, 38.90181470327149)	(25, 38.96679259202212)	(26, 38.91776277122254)	(27, 38.93088562545854)	(28, 38.82846453485308)	(29, 38.918480221477296)	(30, 38.79449711601211)	(31, 38.731031142205126)	(32, 38.69179026132213)	(33, 38.709669770213246)	(34, 38.75811590266997)	(35, 38.722800731231786)	(36, 38.682485701662294)	(37, 38.6853717162464)	(38, 38.56906370715059)	(39, 36.967204011236)	(40, 37.569347444539474)	(41, 37.92574795202406)	(42, 38.10260754660386)	(43, 38.06976291714463)	(44, 37.94274787500963)	(45, 37.80916633901754)	(46, 37.66469536737912)	(47, 37.51616695107962)	(48, 37.291146988127615)	(49, 37.15754113178791)	(50, 36.98526794942989)	(51, 36.80943994292825)	(52, 36.62562675562509)	(53, 36.27586570304045)	(54, 36.11683494996088)	(55, 35.935526758462466)	(56, 35.74165102733202)	(57, 35.51517792360979)	(58, 35.25425707418111)	(59, 35.24611989120698)	(60, 35.02529924161049)	(61, 34.91438832299043)	(62, 34.64259830487177)	(63, 33.83752183764547)
SRR1039512_R1	(1, 38.11245692242327)	(2, 39.69470165476343)	(3, 39.592073051477286)	(4, 39.578438843891135)	(5, 39.679932199884455)	(6, 39.635911581095996)	(7, 39.62259883957495)	(8, 39.551516622942785)	(9, 39.5575457976742)	(10, 39.36128289688133)	(11, 39.4275363784937)	(12, 39.50867396372154)	(13, 39.5138331568642)	(14, 39.4761272106412)	(15, 39.394454597976335)	(16, 39.27697111526244)	(17, 39.23152525531824)	(18, 39.207111818486325)	(19, 39.13890481232451)	(20, 39.196352821370525)	(21, 39.209584634371694)	(22, 39.230414736184265)	(23, 39.18759006107855)	(24, 39.03985055199995)	(25, 39.02568356499122)	(26, 39.02157869062151)	(27, 39.020560340079626)	(28, 38.92008308661375)	(29, 38.873949334250526)	(30, 38.77828507970335)	(31, 38.69276836234396)	(32, 38.61390576773065)	(33, 38.59430083378856)	(34, 38.390367707722156)	(35, 38.342912122867475)	(36, 38.31662833802044)	(37, 38.25606907698775)	(38, 38.093396007975954)	(39, 38.047199311208374)	(40, 37.855135701391745)	(41, 37.71081991830715)	(42, 37.65708338110364)	(43, 37.5202265099351)	(44, 37.41181151747719)	(45, 37.24177620117032)	(46, 37.07330325490011)	(47, 36.92501073426896)	(48, 36.783588145770246)	(49, 36.33764727304608)	(50, 36.253202858575165)	(51, 36.1399883552852)	(52, 36.02262176932225)	(53, 35.7921373446903)	(54, 35.566319798038386)	(55, 35.33622203189033)	(56, 35.159011053487006)	(57, 34.8883860829922)	(58, 34.64618950312137)	(59, 34.51641612545719)	(60, 34.25718634016505)	(61, 33.977495127428696)	(62, 33.67723907858384)	(63, 31.720697693761984)
SRR1039512_R2	(1, 38.01138169711602)	(2, 39.568023792984846)	(3, 39.53478914748548)	(4, 39.53364490813489)	(5, 39.5103667185958)	(6, 39.47726920197735)	(7, 39.47349703374495)	(8, 39.39709376693036)	(9, 39.34467681420386)	(10, 39.24722089214701)	(11, 39.17659951847531)	(12, 39.16549882316444)	(13, 39.05718274334194)	(14, 39.03071012528184)	(15, 38.78004977103973)	(16, 39.00927980361346)	(17, 38.986444472919295)	(18, 38.949547811895144)	(19, 38.927818504306074)	(20, 38.86586997034869)	(21, 38.98670973862336)	(22, 38.981121174722425)	(23, 39.006894660291294)	(24, 38.97076232417717)	(25, 38.92427338553223)	(26, 38.86059837648397)	(27, 38.778849331328104)	(28, 38.761460939625074)	(29, 38.682863610715835)	(30, 38.60334684390013)	(31, 38.58832785941817)	(32, 38.49691235216495)	(33, 38.38670119616848)	(34, 38.32806848351194)	(35, 38.23647987914674)	(36, 38.08612368125853)	(37, 37.984619085193)	(38, 37.87914449562424)	(39, 36.0902915000326)	(40, 36.76245456200811)	(41, 37.12007319535021)	(42, 37.39642161061243)	(43, 37.40212482324986)	(44, 37.38710583876791)	(45, 37.23587965929093)	(46, 37.15129586792465)	(47, 36.986336568226115)	(48, 36.818531282244955)	(49, 36.64935920348352)	(50, 36.51686797635988)	(51, 36.30699559613971)	(52, 36.127860317374676)	(53, 35.90994903751262)	(54, 35.74473121615333)	(55, 35.54162760741575)	(56, 35.3574005759413)	(57, 35.124292718456424)	(58, 34.858705548324444)	(59, 34.68482837533748)	(60, 34.468929068400335)	(61, 34.16099605023863)	(62, 33.93888547940032)	(63, 32.41850835249765)
SRR1039517_R1	(1, 37.60039253311897)	(2, 39.106925567811636)	(3, 39.13306581007361)	(4, 39.06649562897679)	(5, 39.1440087647362)	(6, 39.158202840111635)	(7, 39.186590990862506)	(8, 39.14964555329018)	(9, 39.06794453322269)	(10, 39.05747320175424)	(11, 38.99599039250071)	(12, 38.784095439679234)	(13, 38.876185135603826)	(14, 38.87573458148709)	(15, 38.79831058413207)	(16, 38.76799704384637)	(17, 38.68609343649618)	(18, 38.64291317271133)	(19, 38.54691111118314)	(20, 38.635652444499186)	(21, 38.65537310094681)	(22, 38.599695632866464)	(23, 38.56027863044514)	(24, 38.29004988509249)	(25, 38.36621297919996)	(26, 38.429554729359594)	(27, 38.375752409167966)	(28, 38.27470835534782)	(29, 38.205368400921856)	(30, 38.139067255736464)	(31, 37.88262092840079)	(32, 37.87911859945739)	(33, 37.8770943473286)	(34, 37.79555701778554)	(35, 37.697363772207616)	(36, 37.611166935162345)	(37, 37.42299252209822)	(38, 37.31733758172371)	(39, 37.21771650097728)	(40, 37.12102402198963)	(41, 37.01709674596203)	(42, 36.904715907801716)	(43, 36.779251172575194)	(44, 36.6674861997543)	(45, 36.409234414555165)	(46, 36.10313961667245)	(47, 35.87920287576699)	(48, 35.64507194279584)	(49, 35.450168390549386)	(50, 35.30665069738646)	(51, 35.10805195310348)	(52, 34.79997504124677)	(53, 34.46523926368437)	(54, 34.47194409239277)	(55, 34.142256789915365)	(56, 33.97185657468664)	(57, 33.77270355159817)	(58, 33.618414697788396)	(59, 33.335427815720124)	(60, 33.04126135704307)	(61, 32.58997468469315)	(62, 32.46712251506439)	(63, 30.70123237895815)
SRR1039517_R2	(1, 37.63037869235581)	(2, 39.06502403495522)	(3, 39.05184289599331)	(4, 38.995003387259366)	(5, 38.99704708776729)	(6, 38.9628762856189)	(7, 38.94910683318801)	(8, 38.84046170452078)	(9, 38.6664554356599)	(10, 38.73935444346842)	(11, 38.458910436972666)	(12, 38.5532204895157)	(13, 38.38730312567867)	(14, 38.35243542327777)	(15, 38.31148848169745)	(16, 38.33999008132664)	(17, 38.3080347737019)	(18, 38.31213514030385)	(19, 38.26879604808936)	(20, 38.201425242051286)	(21, 38.409647692611884)	(22, 38.32247033311832)	(23, 38.381577198720294)	(24, 38.269988882009926)	(25, 38.20205083158028)	(26, 38.24495071456586)	(27, 38.17560589804511)	(28, 38.054805532415585)	(29, 37.98414632960465)	(30, 37.95803201851486)	(31, 37.87791766204552)	(32, 37.76928549896437)	(33, 37.605470180772684)	(34, 37.562016018981616)	(35, 37.44587354015604)	(36, 37.292550622510205)	(37, 37.22580054390634)	(38, 36.907769303326646)	(39, 35.18147444645051)	(40, 36.02283239710997)	(41, 36.48517385230252)	(42, 36.64611729317459)	(43, 36.58832319316454)	(44, 36.47818864279486)	(45, 36.4278562375814)	(46, 36.3600851190727)	(47, 36.24539478588955)	(48, 36.051810482028074)	(49, 35.75449176523213)	(50, 35.64485963132356)	(51, 35.43629521342975)	(52, 35.23368199955269)	(53, 35.145893636814485)	(54, 34.900610679104986)	(55, 34.59978963336564)	(56, 34.43802611917319)	(57, 34.18694754448006)	(58, 33.94188500173415)	(59, 33.30681114651436)	(60, 33.20070565202312)	(61, 33.02344340035461)	(62, 32.74613544499512)	(63, 31.229933324473517)
SRR1039520_R1	(1, 37.78784085544706)	(2, 39.224178260569765)	(3, 39.150315859822946)	(4, 39.11897651869965)	(5, 39.21103202091941)	(6, 39.141810717487125)	(7, 39.117072342772886)	(8, 39.113799706152236)	(9, 39.11253467562708)	(10, 38.98800210042804)	(11, 38.90602175746421)	(12, 38.98309844960829)	(13, 38.98365803334164)	(14, 38.917727930919256)	(15, 38.85418733059995)	(16, 38.78014989418298)	(17, 38.659568881840315)	(18, 38.6302371468125)	(19, 38.49179453994791)	(20, 38.583025252873504)	(21, 38.57923811746485)	(22, 38.56113518588258)	(23, 38.55702980380092)	(24, 38.467491102353435)	(25, 38.48487267481025)	(26, 38.44300732497759)	(27, 38.350132337574856)	(28, 38.23510738173158)	(29, 38.21589589090504)	(30, 38.0493229302032)	(31, 37.917274429410234)	(32, 37.89034545676354)	(33, 37.93459765664367)	(34, 37.64047142940493)	(35, 37.65942036672625)	(36, 37.59567821018071)	(37, 37.28091899030939)	(38, 37.340372772936306)	(39, 37.32969824911289)	(40, 37.12718197875173)	(41, 36.91523234659184)	(42, 36.82274986341913)	(43, 36.78141757676375)	(44, 36.76024091273146)	(45, 36.56286432613919)	(46, 36.23926845698101)	(47, 36.14468024165531)	(48, 35.997316119724395)	(49, 35.56334169614868)	(50, 35.24489081487061)	(51, 35.081524189399204)	(52, 35.12935401229493)	(53, 35.08078426588449)	(54, 34.85731145210653)	(55, 34.60923286639474)	(56, 34.28060074363639)	(57, 33.964475715126795)	(58, 33.790593689168475)	(59, 33.57971283541873)	(60, 33.27638927933041)	(61, 32.94908583643182)	(62, 32.71276381323164)	(63, 31.009176112404724)
SRR1039520_R2	(1, 37.56228883007219)	(2, 38.981122668180106)	(3, 38.98232935348189)	(4, 38.979011631915895)	(5, 38.937488397256715)	(6, 38.911588422186036)	(7, 38.91091745211713)	(8, 38.81082887345982)	(9, 38.69952209957938)	(10, 38.60535025698419)	(11, 38.4631364270446)	(12, 38.42402656298897)	(13, 38.383508457405334)	(14, 38.26081110468724)	(15, 38.244829817591615)	(16, 38.34667140500602)	(17, 38.30280110113349)	(18, 38.234558406220664)	(19, 38.20435679695332)	(20, 38.11816233762789)	(21, 38.27611346554715)	(22, 38.14366715641294)	(23, 38.239570791320354)	(24, 38.18290431913776)	(25, 38.110537677754024)	(26, 38.077180122312804)	(27, 37.97139492820885)	(28, 37.983902022457606)	(29, 37.85738836171917)	(30, 37.81204616698403)	(31, 37.698864389788525)	(32, 37.69680904669209)	(33, 37.53819755692637)	(34, 37.460107779539925)	(35, 37.39500777052293)	(36, 37.214148186259166)	(37, 37.115040868176926)	(38, 37.04335580508452)	(39, 35.208048458360075)	(40, 35.85069987747503)	(41, 36.34948523600643)	(42, 36.54784308317377)	(43, 36.451276434364274)	(44, 36.36310619361067)	(45, 36.30345615886874)	(46, 36.15444511040508)	(47, 36.058581256331784)	(48, 35.91086706306058)	(49, 35.7556555085847)	(50, 35.60355481533737)	(51, 35.36468416669761)	(52, 35.230214339134264)	(53, 34.956511592135065)	(54, 34.70363543782786)	(55, 34.4644147178478)	(56, 34.35603846541454)	(57, 34.12672052107589)	(58, 33.8559933804692)	(59, 33.62760630764906)	(60, 33.35478669516743)	(61, 33.0628033288602)	(62, 32.72865758249219)	(63, 31.32083773132555)
