Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1039508_R1	(0.0, 4.0)	(1.0, 2.5)	(2.0, 1.0)	(3.0, 1.0)	(4.0, 1.5)	(5.0, 2.0)	(6.0, 1.5)	(7.0, 3.0)	(8.0, 5.0)	(9.0, 7.0)	(10.0, 16.0)	(11.0, 23.0)	(12.0, 32.5)	(13.0, 64.5)	(14.0, 87.0)	(15.0, 103.5)	(16.0, 120.0)	(17.0, 195.5)	(18.0, 375.0)	(19.0, 479.0)	(20.0, 634.5)	(21.0, 1016.5)	(22.0, 1243.0)	(23.0, 1559.5)	(24.0, 1876.0)	(25.0, 2236.5)	(26.0, 3109.5)	(27.0, 3622.0)	(28.0, 4185.5)	(29.0, 5241.0)	(30.0, 5733.0)	(31.0, 6368.0)	(32.0, 7003.0)	(33.0, 7551.5)	(34.0, 8984.5)	(35.0, 9869.0)	(36.0, 10710.5)	(37.0, 12248.5)	(38.0, 12945.0)	(39.0, 13969.5)	(40.0, 15867.5)	(41.0, 16741.0)	(42.0, 16985.5)	(43.0, 17230.0)	(44.0, 17348.0)	(45.0, 17869.0)	(46.0, 18272.0)	(47.0, 18555.0)	(48.0, 19139.5)	(49.0, 19441.0)	(50.0, 19065.0)	(51.0, 18689.0)	(52.0, 18678.0)	(53.0, 18663.0)	(54.0, 18659.0)	(55.0, 18683.5)	(56.0, 18376.0)	(57.0, 18044.0)	(58.0, 17407.5)	(59.0, 16771.0)	(60.0, 15945.5)	(61.0, 14453.0)	(62.0, 13786.0)	(63.0, 12656.0)	(64.0, 10695.0)	(65.0, 9864.0)	(66.0, 8990.5)	(67.0, 7135.5)	(68.0, 6154.0)	(69.0, 5313.0)	(70.0, 4472.0)	(71.0, 3798.0)	(72.0, 2728.0)	(73.0, 2332.0)	(74.0, 1978.5)	(75.0, 1445.0)	(76.0, 1265.0)	(77.0, 1024.0)	(78.0, 783.0)	(79.0, 647.5)	(80.0, 419.0)	(81.0, 326.0)	(82.0, 252.0)	(83.0, 128.0)	(84.0, 78.0)	(85.0, 58.0)	(86.0, 38.0)	(87.0, 25.0)	(88.0, 10.5)	(89.0, 9.0)	(90.0, 7.0)	(91.0, 3.5)	(92.0, 2.0)	(93.0, 1.5)	(94.0, 1.5)	(95.0, 2.0)	(96.0, 1.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.0)
SRR1039508_R2	(0.0, 2.0)	(1.0, 4.0)	(2.0, 5.0)	(3.0, 4.0)	(4.0, 4.5)	(5.0, 5.0)	(6.0, 6.5)	(7.0, 9.5)	(8.0, 11.0)	(9.0, 11.0)	(10.0, 16.0)	(11.0, 21.0)	(12.0, 31.5)	(13.0, 64.5)	(14.0, 87.0)	(15.0, 117.5)	(16.0, 148.0)	(17.0, 233.0)	(18.0, 409.0)	(19.0, 500.0)	(20.0, 645.0)	(21.0, 1031.5)	(22.0, 1273.0)	(23.0, 1623.5)	(24.0, 1974.0)	(25.0, 2352.5)	(26.0, 3203.5)	(27.0, 3676.0)	(28.0, 4204.0)	(29.0, 5197.5)	(30.0, 5663.0)	(31.0, 6328.5)	(32.0, 6994.0)	(33.0, 7629.0)	(34.0, 8945.0)	(35.0, 9626.0)	(36.0, 10755.5)	(37.0, 12808.0)	(38.0, 13731.0)	(39.0, 14536.0)	(40.0, 15886.0)	(41.0, 16431.0)	(42.0, 16730.0)	(43.0, 17029.0)	(44.0, 17256.0)	(45.0, 17858.5)	(46.0, 18234.0)	(47.0, 18678.0)	(48.0, 19153.0)	(49.0, 19184.0)	(50.0, 18999.5)	(51.0, 18815.0)	(52.0, 18719.5)	(53.0, 18667.5)	(54.0, 18711.0)	(55.0, 18575.5)	(56.0, 18061.5)	(57.0, 17683.0)	(58.0, 17111.0)	(59.0, 16539.0)	(60.0, 15811.0)	(61.0, 14376.5)	(62.0, 13670.0)	(63.0, 12633.0)	(64.0, 10696.0)	(65.0, 9796.0)	(66.0, 8859.0)	(67.0, 7032.0)	(68.0, 6142.0)	(69.0, 5199.5)	(70.0, 4257.0)	(71.0, 3657.5)	(72.0, 2656.5)	(73.0, 2255.0)	(74.0, 1990.0)	(75.0, 1492.5)	(76.0, 1260.0)	(77.0, 1057.5)	(78.0, 855.0)	(79.0, 720.5)	(80.0, 431.5)	(81.0, 277.0)	(82.0, 224.5)	(83.0, 133.0)	(84.0, 94.0)	(85.0, 69.5)	(86.0, 45.0)	(87.0, 33.0)	(88.0, 15.0)	(89.0, 9.0)	(90.0, 5.5)	(91.0, 3.0)	(92.0, 4.0)	(93.0, 3.5)	(94.0, 1.5)	(95.0, 0.0)	(96.0, 1.0)	(97.0, 2.0)	(98.0, 2.0)	(99.0, 2.0)	(100.0, 2.0)
SRR1039509_R1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 2.0)	(7.0, 5.5)	(8.0, 7.0)	(9.0, 10.0)	(10.0, 16.0)	(11.0, 19.0)	(12.0, 34.0)	(13.0, 76.0)	(14.0, 103.0)	(15.0, 114.5)	(16.0, 126.0)	(17.0, 250.0)	(18.0, 520.0)	(19.0, 666.0)	(20.0, 949.5)	(21.0, 1450.5)	(22.0, 1668.0)	(23.0, 2051.0)	(24.0, 2434.0)	(25.0, 2841.5)	(26.0, 3717.5)	(27.0, 4186.0)	(28.0, 4738.0)	(29.0, 5950.0)	(30.0, 6610.0)	(31.0, 7448.5)	(32.0, 8287.0)	(33.0, 8852.0)	(34.0, 10278.5)	(35.0, 11140.0)	(36.0, 12702.0)	(37.0, 15274.0)	(38.0, 16284.0)	(39.0, 17297.5)	(40.0, 20111.0)	(41.0, 21911.0)	(42.0, 22124.5)	(43.0, 22338.0)	(44.0, 22442.0)	(45.0, 23302.5)	(46.0, 24059.0)	(47.0, 24797.0)	(48.0, 26391.5)	(49.0, 27248.0)	(50.0, 27230.0)	(51.0, 27212.0)	(52.0, 26751.5)	(53.0, 26395.0)	(54.0, 26499.0)	(55.0, 25660.5)	(56.0, 23661.5)	(57.0, 22501.0)	(58.0, 21608.0)	(59.0, 20715.0)	(60.0, 19746.5)	(61.0, 17437.0)	(62.0, 16096.0)	(63.0, 14960.5)	(64.0, 13105.5)	(65.0, 12386.0)	(66.0, 11508.5)	(67.0, 9175.5)	(68.0, 7720.0)	(69.0, 6551.0)	(70.0, 5382.0)	(71.0, 4731.0)	(72.0, 3510.0)	(73.0, 2940.0)	(74.0, 2642.5)	(75.0, 2024.0)	(76.0, 1703.0)	(77.0, 1307.5)	(78.0, 912.0)	(79.0, 731.5)	(80.0, 433.0)	(81.0, 315.0)	(82.0, 255.5)	(83.0, 140.0)	(84.0, 84.0)	(85.0, 55.5)	(86.0, 27.0)	(87.0, 17.0)	(88.0, 9.0)	(89.0, 11.0)	(90.0, 9.0)	(91.0, 5.0)	(92.0, 3.0)	(93.0, 2.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 1.0)
SRR1039509_R2	(0.0, 3.0)	(1.0, 6.0)	(2.0, 9.5)	(3.0, 10.0)	(4.0, 8.5)	(5.0, 7.0)	(6.0, 6.0)	(7.0, 7.0)	(8.0, 9.0)	(9.0, 13.0)	(10.0, 19.0)	(11.0, 21.0)	(12.0, 51.5)	(13.0, 101.0)	(14.0, 120.0)	(15.0, 152.0)	(16.0, 184.0)	(17.0, 283.0)	(18.0, 517.5)	(19.0, 653.0)	(20.0, 966.0)	(21.0, 1496.5)	(22.0, 1714.0)	(23.0, 2090.0)	(24.0, 2466.0)	(25.0, 2834.0)	(26.0, 3743.0)	(27.0, 4284.0)	(28.0, 4806.0)	(29.0, 6021.5)	(30.0, 6715.0)	(31.0, 7627.0)	(32.0, 8539.0)	(33.0, 8926.5)	(34.0, 10364.0)	(35.0, 11414.0)	(36.0, 12963.0)	(37.0, 15911.5)	(38.0, 17311.0)	(39.0, 17919.0)	(40.0, 19520.5)	(41.0, 20514.0)	(42.0, 21125.5)	(43.0, 21737.0)	(44.0, 22011.0)	(45.0, 23057.0)	(46.0, 23829.0)	(47.0, 24648.0)	(48.0, 26497.0)	(49.0, 27527.0)	(50.0, 27246.5)	(51.0, 26966.0)	(52.0, 26641.5)	(53.0, 26458.0)	(54.0, 26599.0)	(55.0, 25837.5)	(56.0, 23817.0)	(57.0, 22558.0)	(58.0, 21624.5)	(59.0, 20691.0)	(60.0, 19615.5)	(61.0, 17312.0)	(62.0, 16084.0)	(63.0, 14977.5)	(64.0, 13099.5)	(65.0, 12328.0)	(66.0, 11458.5)	(67.0, 9128.5)	(68.0, 7668.0)	(69.0, 6551.5)	(70.0, 5435.0)	(71.0, 4803.5)	(72.0, 3532.0)	(73.0, 2892.0)	(74.0, 2588.5)	(75.0, 2013.0)	(76.0, 1741.0)	(77.0, 1319.0)	(78.0, 897.0)	(79.0, 723.0)	(80.0, 434.0)	(81.0, 319.0)	(82.0, 256.0)	(83.0, 149.5)	(84.0, 106.0)	(85.0, 65.0)	(86.0, 24.0)	(87.0, 18.5)	(88.0, 11.0)	(89.0, 9.0)	(90.0, 6.5)	(91.0, 6.5)	(92.0, 9.0)	(93.0, 7.0)	(94.0, 4.5)	(95.0, 4.0)	(96.0, 3.0)	(97.0, 2.0)	(98.0, 2.0)	(99.0, 1.0)	(100.0, 0.0)
SRR1039512_R1	(0.0, 2.0)	(1.0, 2.0)	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 1.0)	(6.0, 2.5)	(7.0, 4.5)	(8.0, 5.0)	(9.0, 5.0)	(10.0, 11.5)	(11.0, 18.0)	(12.0, 27.0)	(13.0, 71.0)	(14.0, 106.0)	(15.0, 121.5)	(16.0, 137.0)	(17.0, 202.5)	(18.0, 400.0)	(19.0, 532.0)	(20.0, 660.0)	(21.0, 1009.0)	(22.0, 1230.0)	(23.0, 1680.5)	(24.0, 2131.0)	(25.0, 2440.0)	(26.0, 3310.5)	(27.0, 3872.0)	(28.0, 4563.5)	(29.0, 5944.5)	(30.0, 6634.0)	(31.0, 7556.5)	(32.0, 8479.0)	(33.0, 9231.5)	(34.0, 10921.0)	(35.0, 11858.0)	(36.0, 13005.0)	(37.0, 15377.0)	(38.0, 16602.0)	(39.0, 17629.5)	(40.0, 19205.0)	(41.0, 19753.0)	(42.0, 20107.5)	(43.0, 20462.0)	(44.0, 21190.5)	(45.0, 22348.0)	(46.0, 22777.0)	(47.0, 23159.5)	(48.0, 23792.5)	(49.0, 24043.0)	(50.0, 23439.5)	(51.0, 22836.0)	(52.0, 22348.0)	(53.0, 21655.0)	(54.0, 21450.0)	(55.0, 21113.0)	(56.0, 20465.5)	(57.0, 20155.0)	(58.0, 19383.5)	(59.0, 18612.0)	(60.0, 17637.0)	(61.0, 15620.5)	(62.0, 14579.0)	(63.0, 13279.0)	(64.0, 11114.0)	(65.0, 10249.0)	(66.0, 9281.5)	(67.0, 7191.5)	(68.0, 6069.0)	(69.0, 5211.0)	(70.0, 4353.0)	(71.0, 3783.5)	(72.0, 2809.0)	(73.0, 2404.0)	(74.0, 2075.0)	(75.0, 1557.5)	(76.0, 1369.0)	(77.0, 1152.5)	(78.0, 936.0)	(79.0, 743.5)	(80.0, 437.5)	(81.0, 324.0)	(82.0, 248.0)	(83.0, 140.0)	(84.0, 108.0)	(85.0, 81.5)	(86.0, 55.0)	(87.0, 39.5)	(88.0, 20.5)	(89.0, 17.0)	(90.0, 12.0)	(91.0, 8.0)	(92.0, 9.0)	(93.0, 5.5)	(94.0, 1.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
SRR1039512_R2	(0.0, 6.0)	(1.0, 3.5)	(2.0, 3.0)	(3.0, 5.0)	(4.0, 4.5)	(5.0, 4.0)	(6.0, 4.0)	(7.0, 10.0)	(8.0, 16.0)	(9.0, 17.5)	(10.0, 20.5)	(11.0, 22.0)	(12.0, 26.5)	(13.0, 60.0)	(14.0, 89.0)	(15.0, 119.0)	(16.0, 149.0)	(17.0, 228.5)	(18.0, 424.0)	(19.0, 540.0)	(20.0, 696.0)	(21.0, 1103.0)	(22.0, 1354.0)	(23.0, 1796.5)	(24.0, 2239.0)	(25.0, 2573.0)	(26.0, 3477.0)	(27.0, 4047.0)	(28.0, 4710.0)	(29.0, 6093.5)	(30.0, 6814.0)	(31.0, 7707.5)	(32.0, 8601.0)	(33.0, 9210.5)	(34.0, 10980.5)	(35.0, 12141.0)	(36.0, 13387.0)	(37.0, 15654.0)	(38.0, 16675.0)	(39.0, 17591.0)	(40.0, 19436.5)	(41.0, 20366.0)	(42.0, 20548.0)	(43.0, 20730.0)	(44.0, 21176.0)	(45.0, 22234.5)	(46.0, 22847.0)	(47.0, 23138.0)	(48.0, 23568.0)	(49.0, 23707.0)	(50.0, 23074.0)	(51.0, 22441.0)	(52.0, 21933.0)	(53.0, 21164.5)	(54.0, 20904.0)	(55.0, 20869.0)	(56.0, 20423.5)	(57.0, 20013.0)	(58.0, 19036.0)	(59.0, 18059.0)	(60.0, 17214.5)	(61.0, 15484.0)	(62.0, 14598.0)	(63.0, 13204.5)	(64.0, 10913.5)	(65.0, 10016.0)	(66.0, 9270.0)	(67.0, 7349.0)	(68.0, 6174.0)	(69.0, 5266.5)	(70.0, 4359.0)	(71.0, 3844.5)	(72.0, 2824.0)	(73.0, 2318.0)	(74.0, 2107.5)	(75.0, 1664.0)	(76.0, 1431.0)	(77.0, 1200.5)	(78.0, 970.0)	(79.0, 779.0)	(80.0, 478.0)	(81.0, 368.0)	(82.0, 299.5)	(83.0, 184.0)	(84.0, 137.0)	(85.0, 106.5)	(86.0, 76.0)	(87.0, 61.5)	(88.0, 34.5)	(89.0, 22.0)	(90.0, 18.0)	(91.0, 10.5)	(92.0, 7.0)	(93.0, 7.0)	(94.0, 5.0)	(95.0, 3.0)	(96.0, 3.0)	(97.0, 3.0)	(98.0, 2.0)	(99.0, 1.0)	(100.0, 1.0)
SRR1039517_R1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.5)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 3.5)	(8.0, 4.0)	(9.0, 7.0)	(10.0, 16.0)	(11.0, 22.0)	(12.0, 27.0)	(13.0, 63.5)	(14.0, 95.0)	(15.0, 166.5)	(16.0, 238.0)	(17.0, 376.5)	(18.0, 656.0)	(19.0, 797.0)	(20.0, 1066.5)	(21.0, 1636.5)	(22.0, 1937.0)	(23.0, 2412.0)	(24.0, 2887.0)	(25.0, 3110.0)	(26.0, 3967.5)	(27.0, 4602.0)	(28.0, 5536.5)	(29.0, 7031.5)	(30.0, 7592.0)	(31.0, 8707.0)	(32.0, 9822.0)	(33.0, 10576.5)	(34.0, 12472.5)	(35.0, 13614.0)	(36.0, 15882.0)	(37.0, 19475.0)	(38.0, 20800.0)	(39.0, 21955.0)	(40.0, 24510.0)	(41.0, 25910.0)	(42.0, 27188.5)	(43.0, 28467.0)	(44.0, 29115.5)	(45.0, 30429.5)	(46.0, 31095.0)	(47.0, 32187.5)	(48.0, 35153.5)	(49.0, 37027.0)	(50.0, 36048.0)	(51.0, 35069.0)	(52.0, 34145.0)	(53.0, 33284.0)	(54.0, 33347.0)	(55.0, 32278.5)	(56.0, 29173.5)	(57.0, 27137.0)	(58.0, 25517.0)	(59.0, 23897.0)	(60.0, 23286.5)	(61.0, 20977.5)	(62.0, 19279.0)	(63.0, 18482.5)	(64.0, 16106.0)	(65.0, 14526.0)	(66.0, 13980.0)	(67.0, 11334.5)	(68.0, 9235.0)	(69.0, 7749.0)	(70.0, 6263.0)	(71.0, 5576.5)	(72.0, 4280.5)	(73.0, 3671.0)	(74.0, 3432.5)	(75.0, 2912.0)	(76.0, 2630.0)	(77.0, 2009.5)	(78.0, 1389.0)	(79.0, 1099.0)	(80.0, 645.5)	(81.0, 482.0)	(82.0, 439.0)	(83.0, 283.5)	(84.0, 171.0)	(85.0, 119.0)	(86.0, 67.0)	(87.0, 54.5)	(88.0, 31.0)	(89.0, 20.0)	(90.0, 14.0)	(91.0, 8.0)	(92.0, 8.0)	(93.0, 7.5)	(94.0, 5.5)	(95.0, 4.0)	(96.0, 2.0)	(97.0, 0.0)	(98.0, 1.5)	(99.0, 1.5)	(100.0, 0.0)
SRR1039517_R2	(0.0, 1.0)	(1.0, 2.0)	(2.0, 3.5)	(3.0, 4.0)	(4.0, 3.0)	(5.0, 2.0)	(6.0, 3.0)	(7.0, 7.5)	(8.0, 11.0)	(9.0, 15.0)	(10.0, 23.0)	(11.0, 27.0)	(12.0, 49.5)	(13.0, 92.5)	(14.0, 113.0)	(15.0, 184.0)	(16.0, 255.0)	(17.0, 406.5)	(18.0, 688.5)	(19.0, 819.0)	(20.0, 1127.5)	(21.0, 1731.5)	(22.0, 2027.0)	(23.0, 2526.5)	(24.0, 3026.0)	(25.0, 3209.0)	(26.0, 4014.0)	(27.0, 4636.0)	(28.0, 5740.0)	(29.0, 7211.5)	(30.0, 7579.0)	(31.0, 8784.5)	(32.0, 9990.0)	(33.0, 10715.0)	(34.0, 12599.0)	(35.0, 13758.0)	(36.0, 15911.5)	(37.0, 19481.5)	(38.0, 20898.0)	(39.0, 22121.0)	(40.0, 24469.0)	(41.0, 25594.0)	(42.0, 26963.5)	(43.0, 28333.0)	(44.0, 29027.0)	(45.0, 30507.0)	(46.0, 31293.0)	(47.0, 32441.0)	(48.0, 35067.0)	(49.0, 36545.0)	(50.0, 35827.5)	(51.0, 35110.0)	(52.0, 34103.0)	(53.0, 33032.0)	(54.0, 32968.0)	(55.0, 32038.0)	(56.0, 28844.0)	(57.0, 26580.0)	(58.0, 25255.0)	(59.0, 23930.0)	(60.0, 22946.0)	(61.0, 20389.5)	(62.0, 18817.0)	(63.0, 18142.5)	(64.0, 15997.0)	(65.0, 14526.0)	(66.0, 14026.0)	(67.0, 11312.0)	(68.0, 9098.0)	(69.0, 7806.5)	(70.0, 6515.0)	(71.0, 5841.0)	(72.0, 4507.5)	(73.0, 3848.0)	(74.0, 3632.0)	(75.0, 3046.5)	(76.0, 2677.0)	(77.0, 2100.0)	(78.0, 1523.0)	(79.0, 1189.5)	(80.0, 717.0)	(81.0, 578.0)	(82.0, 486.0)	(83.0, 300.5)	(84.0, 207.0)	(85.0, 148.5)	(86.0, 90.0)	(87.0, 79.0)	(88.0, 54.5)	(89.0, 41.0)	(90.0, 29.0)	(91.0, 15.5)	(92.0, 14.0)	(93.0, 12.0)	(94.0, 7.0)	(95.0, 4.0)	(96.0, 3.0)	(97.0, 2.0)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 0.0)
SRR1039520_R1	(0.0, 2.0)	(1.0, 1.0)	(2.0, 1.0)	(3.0, 2.0)	(4.0, 3.5)	(5.0, 5.0)	(6.0, 3.5)	(7.0, 3.5)	(8.0, 5.0)	(9.0, 4.5)	(10.0, 10.0)	(11.0, 16.0)	(12.0, 30.0)	(13.0, 64.5)	(14.0, 85.0)	(15.0, 112.0)	(16.0, 139.0)	(17.0, 227.5)	(18.0, 424.0)	(19.0, 532.0)	(20.0, 678.0)	(21.0, 1037.0)	(22.0, 1250.0)	(23.0, 1639.5)	(24.0, 2029.0)	(25.0, 2345.0)	(26.0, 3143.0)	(27.0, 3625.0)	(28.0, 4171.0)	(29.0, 5360.0)	(30.0, 6003.0)	(31.0, 6645.0)	(32.0, 7287.0)	(33.0, 7834.0)	(34.0, 9291.5)	(35.0, 10202.0)	(36.0, 11033.5)	(37.0, 12859.0)	(38.0, 13853.0)	(39.0, 14580.0)	(40.0, 16038.0)	(41.0, 16769.0)	(42.0, 16861.5)	(43.0, 16954.0)	(44.0, 17452.5)	(45.0, 18051.0)	(46.0, 18151.0)	(47.0, 18611.0)	(48.0, 19311.0)	(49.0, 19551.0)	(50.0, 19085.0)	(51.0, 18619.0)	(52.0, 18422.0)	(53.0, 18152.0)	(54.0, 18079.0)	(55.0, 17911.5)	(56.0, 17375.5)	(57.0, 17007.0)	(58.0, 16329.5)	(59.0, 15652.0)	(60.0, 14815.5)	(61.0, 13300.5)	(62.0, 12622.0)	(63.0, 11596.5)	(64.0, 9699.0)	(65.0, 8827.0)	(66.0, 8131.5)	(67.0, 6589.0)	(68.0, 5742.0)	(69.0, 4945.0)	(70.0, 4148.0)	(71.0, 3656.5)	(72.0, 2691.0)	(73.0, 2217.0)	(74.0, 1972.5)	(75.0, 1547.5)	(76.0, 1367.0)	(77.0, 1125.0)	(78.0, 883.0)	(79.0, 723.0)	(80.0, 454.0)	(81.0, 345.0)	(82.0, 283.5)	(83.0, 190.0)	(84.0, 158.0)	(85.0, 111.0)	(86.0, 64.0)	(87.0, 58.0)	(88.0, 37.0)	(89.0, 22.0)	(90.0, 16.5)	(91.0, 8.5)	(92.0, 6.0)	(93.0, 5.0)	(94.0, 4.0)	(95.0, 4.0)	(96.0, 2.5)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
SRR1039520_R2	(0.0, 6.0)	(1.0, 3.5)	(2.0, 2.5)	(3.0, 4.0)	(4.0, 4.0)	(5.0, 4.0)	(6.0, 5.5)	(7.0, 7.5)	(8.0, 8.0)	(9.0, 8.5)	(10.0, 16.5)	(11.0, 24.0)	(12.0, 34.0)	(13.0, 74.5)	(14.0, 105.0)	(15.0, 140.5)	(16.0, 176.0)	(17.0, 251.0)	(18.0, 441.5)	(19.0, 557.0)	(20.0, 728.5)	(21.0, 1112.5)	(22.0, 1325.0)	(23.0, 1722.5)	(24.0, 2120.0)	(25.0, 2452.5)	(26.0, 3234.0)	(27.0, 3683.0)	(28.0, 4294.5)	(29.0, 5487.5)	(30.0, 6069.0)	(31.0, 6685.0)	(32.0, 7301.0)	(33.0, 7954.5)	(34.0, 9466.0)	(35.0, 10324.0)	(36.0, 11227.5)	(37.0, 13069.0)	(38.0, 14007.0)	(39.0, 14775.0)	(40.0, 16119.0)	(41.0, 16695.0)	(42.0, 16926.0)	(43.0, 17157.0)	(44.0, 17409.5)	(45.0, 18025.0)	(46.0, 18388.0)	(47.0, 18418.0)	(48.0, 18758.0)	(49.0, 19068.0)	(50.0, 18804.0)	(51.0, 18540.0)	(52.0, 18173.5)	(53.0, 17829.0)	(54.0, 17851.0)	(55.0, 17518.5)	(56.0, 17008.0)	(57.0, 16830.0)	(58.0, 16140.5)	(59.0, 15451.0)	(60.0, 14762.5)	(61.0, 13325.5)	(62.0, 12577.0)	(63.0, 11519.0)	(64.0, 9624.5)	(65.0, 8788.0)	(66.0, 8148.5)	(67.0, 6667.5)	(68.0, 5826.0)	(69.0, 5026.0)	(70.0, 4226.0)	(71.0, 3717.0)	(72.0, 2768.5)	(73.0, 2329.0)	(74.0, 2087.5)	(75.0, 1663.0)	(76.0, 1480.0)	(77.0, 1211.5)	(78.0, 943.0)	(79.0, 792.0)	(80.0, 524.5)	(81.0, 408.0)	(82.0, 335.0)	(83.0, 215.0)	(84.0, 168.0)	(85.0, 136.0)	(86.0, 104.0)	(87.0, 77.5)	(88.0, 42.0)	(89.0, 33.0)	(90.0, 31.0)	(91.0, 24.5)	(92.0, 20.0)	(93.0, 15.5)	(94.0, 7.5)	(95.0, 4.0)	(96.0, 5.0)	(97.0, 6.0)	(98.0, 5.5)	(99.0, 3.0)	(100.0, 1.0)
