Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039508_R1	(1.0, 64.88918194521163)	(2.0, 13.679570662217394)	(3.0, 6.074535332482527)	(4.0, 3.517516188775733)	(5.0, 2.3371986336172235)	(6.0, 1.6249894335971473)	(7.0, 1.200803154323433)	(8.0, 0.9820850064333743)	(9.0, 0.7344485920359833)	('>10', 4.528268516149032)	('>50', 0.05607895132026841)	('>100', 0.08276712694858893)	('>500', 0.29255645688766535)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039508_R2	(1.0, 69.65904556251756)	(2.0, 12.996951404330574)	(3.0, 5.438450027096986)	(4.0, 3.0429617910153173)	(5.0, 1.8961124991980174)	(6.0, 1.2611407584990146)	(7.0, 0.9470695684742106)	(8.0, 0.7703604032444585)	(9.0, 0.5403435401372828)	('>10', 3.159968091545532)	('>50', 0.055524382783992896)	('>100', 0.23207197115704814)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039509_R1	(1.0, 42.79633850259532)	(2.0, 12.309963386246583)	(3.0, 6.842958765248368)	(4.0, 4.725501444506042)	(5.0, 3.4991310429705247)	(6.0, 2.720983717546909)	(7.0, 2.3359999234817854)	(8.0, 1.983355572965804)	(9.0, 1.7629027994202)	('>10', 18.48545452409184)	('>50', 1.9118610009920485)	('>100', 0.6255493199345599)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039509_R2	(1.0, 48.46948471799269)	(2.0, 13.552689071044266)	(3.0, 7.077879339294553)	(4.0, 4.617623194884921)	(5.0, 3.11254734322194)	(6.0, 2.538173086041412)	(7.0, 1.9977308248617636)	(8.0, 1.7119399022314434)	(9.0, 1.4521494276165623)	('>10', 13.782146793288103)	('>50', 1.3734175469101444)	('>100', 0.3142187526122072)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039512_R1	(1.0, 52.24286031436284)	(2.0, 14.166325173051513)	(3.0, 7.145593502131425)	(4.0, 4.613164015899295)	(5.0, 3.30973529161748)	(6.0, 2.489652822936971)	(7.0, 1.9001210094972292)	(8.0, 1.7087010407351964)	(9.0, 1.3979140881157561)	('>10', 10.385888958004598)	('>50', 0.5032628532336589)	('>100', 0.13678093041405448)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039512_R2	(1.0, 51.598545504772744)	(2.0, 14.068064640210526)	(3.0, 7.191951858553916)	(4.0, 4.7610182163794335)	(5.0, 3.3453192555800095)	(6.0, 2.6100284451645694)	(7.0, 1.9717015306564705)	(8.0, 1.647537688748905)	(9.0, 1.4210375994236932)	('>10', 10.679123870837666)	('>50', 0.6391357221832704)	('>100', 0.0665356674888225)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039517_R1	(1.0, 32.84321346773923)	(2.0, 11.609288850600587)	(3.0, 7.0266707214859645)	(4.0, 4.97297879439406)	(5.0, 3.7997876055050286)	(6.0, 3.2738654826014892)	(7.0, 2.7331105090823984)	(8.0, 2.3442420636835277)	(9.0, 2.0301827493364453)	('>10', 24.379546939326183)	('>50', 3.769225688040652)	('>100', 1.2178871282044343)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039517_R2	(1.0, 33.02270898598796)	(2.0, 11.315681965279751)	(3.0, 6.937400341030204)	(4.0, 4.988333387604558)	(5.0, 3.9167725538691016)	(6.0, 3.1274154273517487)	(7.0, 2.6491096953273097)	(8.0, 2.272482692702085)	(9.0, 2.0747915961627386)	('>10', 24.555910934317954)	('>50', 3.815936175142478)	('>100', 1.3234562452240946)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039520_R1	(1.0, 64.86775360632862)	(2.0, 13.52360001298258)	(3.0, 6.121464176948555)	(4.0, 3.7186126595536226)	(5.0, 2.6249844261758146)	(6.0, 1.7622365476078625)	(7.0, 1.3599417061479961)	(8.0, 0.9224931003826249)	(9.0, 0.8600196860874654)	('>10', 4.141221905119199)	('>50', 0.09767217266564332)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039520_R2	(1.0, 65.11154830413703)	(2.0, 13.186656646274612)	(3.0, 6.23406895732654)	(4.0, 3.6482477968594864)	(5.0, 2.4993153320468964)	(6.0, 1.8483809126199064)	(7.0, 1.2789259831544875)	(8.0, 1.0671025514726458)	(9.0, 0.7949147390503644)	('>10', 4.247499293122557)	('>50', 0.08333948393548143)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
