Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1039508_R1	23.95262395010856	49.0	63.0	63	0.0	0.382976
SRR1039508_R2	20.171728360608768	49.0	63.0	63	9.090909090909092	0.382976
SRR1039509_R1	44.564396530337014	49.0	63.0	63	0.0	0.49341399999999996
SRR1039509_R2	38.69792133415191	49.0	63.0	63	9.090909090909092	0.49341399999999996
SRR1039512_R1	34.75508694691146	49.0	63.0	63	0.0	0.444837
SRR1039512_R2	35.34589530481949	49.0	63.0	63	0.0	0.444837
SRR1039517_R1	54.13225688983176	49.0	63.0	63	18.181818181818183	0.617018
SRR1039517_R2	54.12662623994489	49.0	63.0	63	18.181818181818183	0.617018
SRR1039520_R1	23.88925448846217	49.0	63.0	63	0.0	0.37706599999999996
SRR1039520_R2	23.79963607213685	49.0	63.0	63	0.0	0.37706599999999996
SRR1039521_R1	52.78801670073766	49.0	63.0	63	10.0	0.5605749999999999
SRR1039521_R2	52.3767536753346	49.0	63.0	63	10.0	0.5605749999999999
