Sample	Format	Type	Num_Seqs	Total_Length	Min_Length	Avg_Length	Max_Length
SRR1039508_R1	FASTQ	DNA	382976	24127488	63	63.0	63
SRR1039508_R2	FASTQ	DNA	382976	24127488	63	63.0	63
SRR1039509_R1	FASTQ	DNA	493414	31085082	63	63.0	63
SRR1039509_R2	FASTQ	DNA	493414	31085082	63	63.0	63
SRR1039512_R1	FASTQ	DNA	444837	28024731	63	63.0	63
SRR1039512_R2	FASTQ	DNA	444837	28024731	63	63.0	63
SRR1039517_R1	FASTQ	DNA	617018	38872134	63	63.0	63
SRR1039517_R2	FASTQ	DNA	617018	38872134	63	63.0	63
SRR1039520_R1	FASTQ	DNA	377066	23755158	63	63.0	63
SRR1039520_R2	FASTQ	DNA	377066	23755158	63	63.0	63
SRR1039521_R1	FASTQ	DNA	560575	35316225	63	63.0	63
SRR1039521_R2	FASTQ	DNA	560575	35316225	63	63.0	63
