Sample	sp|A2T929|RXRAA_DANRE	sp|A3RGC1|VDR_PIG	sp|B2RWS6|EP300_MOUSE	sp|O35973|PER1_MOUSE	sp|O43889|CREB3_HUMAN	sp|P01116|RASK_HUMAN	sp|P08238|HS90B_HUMAN	sp|P09471|GNAO_HUMAN	sp|P10275|ANDR_HUMAN	sp|P10276|RARA_HUMAN	sp|P10632|CP2C8_HUMAN	sp|P11416|RARA_MOUSE	sp|P11473|VDR_HUMAN	sp|P16220|CREB1_HUMAN	sp|P19793|RXRA_HUMAN	sp|P20815|CP3A5_HUMAN	sp|P23771|GATA3_HUMAN	sp|P28700|RXRA_MOUSE	sp|P28704|RXRB_MOUSE	sp|P28705|RXRG_MOUSE	sp|P40763|STAT3_HUMAN	sp|P42345|MTOR_HUMAN	sp|P43354|NR4A2_HUMAN	sp|P51531|SMCA2_HUMAN	sp|P51532|SMCA4_HUMAN	sp|Q05343|RXRA_RAT	sp|Q15788|NCOA1_HUMAN	sp|Q60641|NR1H4_MOUSE	sp|Q61026|NCOA2_MOUSE	sp|Q61817|CREB3_MOUSE	sp|Q64127|TIF1A_MOUSE	sp|Q7SYN5|RXRBA_DANRE	sp|Q8SQ19|CREB3_BOVIN	sp|Q90415|RXRAB_DANRE	sp|Q90416|RXRGA_DANRE	sp|Q90417|RXRBB_DANRE	sp|Q925J9|MED1_MOUSE	sp|Q92831|KAT2B_HUMAN	sp|Q92993|KAT5_HUMAN	sp|Q969H0|FBXW7_HUMAN	sp|Q96H86|ZN764_HUMAN	sp|Q9GZM7|TINAL_HUMAN	sp|Q9NRY4|RHG35_HUMAN	sp|Q9UGP4|LIMD1_HUMAN	sp|Q9UKL3|C8AP2_HUMAN	sp|Q9Y692|GMEB1_HUMAN	tr|A0A0D9S3D0|A0A0D9S3D0_CHLSB	tr|A0A1S2WYM8|A0A1S2WYM8_SALSA	tr|A0A212CGZ6|A0A212CGZ6_CEREH	tr|A0A287B3I8|A0A287B3I8_PIG	tr|A0A2I2Z4Q5|A0A2I2Z4Q5_GORGO	tr|A0A3B4DW26|A0A3B4DW26_PYGNA	tr|A0A3M0IZD0|A0A3M0IZD0_HIRRU	tr|A0A3P8YQ13|A0A3P8YQ13_ESOLU	tr|A0A480LKS3|A0A480LKS3_PIG	tr|A0A480PNE7|A0A480PNE7_PIG	tr|A0A665TFT5|A0A665TFT5_ECHNA	tr|A0A670JPT3|A0A670JPT3_PODMU	tr|A0A671F296|A0A671F296_RHIFE	tr|A0A6P3F6R6|A0A6P3F6R6_OCTDE	tr|A0A7K6Q9B9|A0A7K6Q9B9_9PASS	tr|A0A7K7ABT8|A0A7K7ABT8_9AVES	tr|A0A7K8ESY1|A0A7K8ESY1_LEURO	tr|A0A7K8W248|A0A7K8W248_9FURN	tr|A0A7K9JLY2|A0A7K9JLY2_9PASE	tr|A0A803K2Y7|A0A803K2Y7_XENTR	tr|A0A8B7QIQ1|A0A8B7QIQ1_HIPAR	tr|A0A8B7QJA4|A0A8B7QJA4_HIPAR	tr|A0A8C3FQM6|A0A8C3FQM6_CHRPI	tr|A0A8C8SJ68|A0A8C8SJ68_9SAUR	tr|A0A8C9A8R5|A0A8C9A8R5_PROSS	tr|A0A8D0DM74|A0A8D0DM74_SALMN	tr|A0A8I3NIH7|A0A8I3NIH7_CANLF	tr|A0A8I3W5P2|A0A8I3W5P2_CALJA	tr|A0A8V0ZXG8|A0A8V0ZXG8_CHICK	tr|A0A9D3SLA1|A0A9D3SLA1_9TELE	tr|A0AA88PK51|A0AA88PK51_9TELE	tr|A0AAD4ULW0|A0AAD4ULW0_OVIAM	tr|A0AAW1ANN7|A0AAW1ANN7_CROAD	tr|A0ABC9XTS7|A0ABC9XTS7_GRUJA	tr|A0ABM0KLN9|A0ABM0KLN9_MICOH	tr|A2BGS7|A2BGS7_DANRE	tr|A8QZ73|A8QZ73_MAIZE	tr|A8QZ77|A8QZ77_MAIZE	tr|C0ITM0|C0ITM0_DANRE	tr|Q4H2U9|Q4H2U9_CIOIN	tr|W1PJ14|W1PJ14_AMBTC
SRR1039508_R1	0	0	32	103	11	21	269	55	5	1	0	0	1	1	1	8	0	2	5	0	51	15	8	24	28	0	12	1	4	0	10	0	0	1	0	0	9	12	11	1	0	0	19	10	6	2	1	0	1	1	0	0	0	1	15	1	0	9	1	0	0	0	0	0	1	0	0	0	1	0	0	0	8	0	0	0	8	0	2	0	0	2	1	0	0	0	87
SRR1039508_R2	0	0	32	107	12	18	259	49	8	0	0	0	1	0	2	8	0	1	7	0	51	16	10	31	21	0	12	2	5	0	9	0	0	0	0	0	7	14	10	3	1	0	21	7	6	2	0	0	0	1	0	0	0	0	15	3	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	8	0	1	0	0	2	0	2	1	1	63
SRR1039509_R1	0	0	19	936	7	21	188	48	3	2	1	0	2	3	1	6	0	0	5	0	77	16	61	15	18	0	9	2	7	0	7	1	0	1	0	0	10	7	6	0	0	0	10	8	3	1	0	0	1	1	1	1	0	0	12	3	0	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	6	1	3	0	0	9	4	0	12	1	65
SRR1039509_R2	0	1	27	925	7	16	183	39	2	2	0	0	3	3	2	4	0	0	4	0	69	15	53	13	17	0	10	1	9	0	8	0	0	0	2	1	9	7	4	1	0	0	9	9	4	2	1	0	1	0	0	0	0	0	12	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	1	0	4	0	0	1	1	12	1	1	10	0	78
SRR1039512_R1	0	3	20	90	13	17	285	31	3	0	0	0	0	3	0	2	0	0	5	0	40	18	6	21	31	0	9	1	11	0	8	0	0	0	0	0	11	6	5	0	3	0	22	3	0	0	0	0	2	0	0	0	0	0	20	1	0	14	1	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	1	0	5	0	0	0	0	3	4	1	4	0	52
SRR1039512_R2	0	0	19	84	14	19	291	37	6	2	0	1	3	2	0	3	0	0	3	0	33	17	7	18	26	0	11	2	13	0	7	1	0	0	0	0	11	5	7	0	1	0	20	4	0	0	0	0	0	0	0	0	0	0	18	1	0	15	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	10	0	0	0	0	1	0	0	0	0	54
SRR1039517_R1	0	0	24	1031	6	17	209	42	4	1	0	0	0	2	0	1	0	1	7	0	80	25	71	18	24	0	5	0	6	0	4	1	0	0	1	0	8	15	8	0	0	3	21	6	1	2	0	0	0	0	0	0	0	0	15	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	1	7	0	2	0	0	7	1	1	16	0	33
SRR1039517_R2	0	0	25	1025	6	24	215	47	4	0	0	0	0	6	1	0	0	1	7	0	71	23	70	13	27	1	6	1	6	1	8	0	0	0	1	0	11	14	6	1	1	3	24	8	1	1	0	0	0	0	0	0	0	0	16	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	9	0	1	0	0	6	2	0	17	0	32
SRR1039520_R1	1	0	23	71	12	8	225	51	4	0	0	0	2	1	1	1	3	0	3	0	49	8	16	28	38	0	6	0	4	0	5	0	1	1	3	1	7	9	2	0	3	0	31	10	4	1	0	0	0	0	0	0	1	0	10	4	0	12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	1	0	0	3	4	0	0	0	48
SRR1039520_R2	0	0	21	78	8	8	209	39	5	0	0	0	1	1	1	1	2	0	4	0	55	10	7	21	25	0	9	1	4	0	7	1	0	0	1	1	7	7	2	1	2	0	29	11	3	4	0	0	3	0	0	0	0	0	12	1	1	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	1	0	0	3	2	1	0	1	58
SRR1039521_R1	0	0	32	889	11	14	177	37	8	1	0	0	3	2	1	1	0	0	3	0	79	20	45	30	28	0	6	1	8	0	3	1	0	0	0	0	15	4	8	2	0	1	25	11	3	3	0	1	0	0	0	0	0	0	9	2	0	12	0	1	0	0	0	0	0	1	0	0	0	1	0	0	11	0	0	0	6	0	0	0	0	9	0	0	14	2	42
SRR1039521_R2	0	0	29	866	9	20	174	40	4	2	0	0	2	3	3	1	1	2	6	1	71	21	39	33	22	1	8	0	10	0	7	4	0	0	0	0	10	6	4	2	1	2	23	14	3	3	0	0	1	0	0	0	2	0	7	2	0	10	0	0	0	0	0	1	0	0	1	0	0	1	0	0	5	0	0	0	8	0	0	0	0	11	3	0	13	3	38
